Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
429,ANDHRA PRADESH,Prakasam,MARKAPUR,BLOCK,27253,2317.51,2201.62,1973.53,89.63990153,Semi Critical
430,ANDHRA PRADESH,Prakasam,KURICHEDU,BLOCK,26444,1538.94,1461.99,587.43,40.18016539,Safe
431,ANDHRA PRADESH,Prakasam,NAGULUPPALAPADU,BLOCK,25298,2864.92,2721.65,311.19,11.43387283,Safe
432,ANDHRA PRADESH,Prakasam,VELIGANDLA,BLOCK,31182,3879.62,3685.65,484.53,13.14639209,Safe
433,ANDHRA PRADESH,Prakasam,KANIGIRI,BLOCK,49205,5016.82,4765.97,1521.16,31.91711236,Safe
434,ANDHRA PRADESH,Prakasam,SINGARAYAKONDA,BLOCK,11091,2051.94,1949.33,269.82,13.84167894,Safe
435,ANDHRA PRADESH,Prakasam,ZARUGUMILLI,BLOCK,18447,2075.06,1971.27,470.17,23.85112136,Safe
436,ANDHRA PRADESH,Prakasam,SANTHANUTHLAPADU,BLOCK,21211,2279.53,2165.53,1208.43,55.8029674,Safe
437,ANDHRA PRADESH,Prakasam,GIDDALURU,BLOCK,48682,2547.34,2419.99,2069.03,85.49746073,Semi Critical
438,ANDHRA PRADESH,Prakasam,MUNDLAMURU,BLOCK,33292,2457.1,2334.25,1438.04,61.60608332,Safe
439,ANDHRA PRADESH,Prakasam,TRIPURANTHAKAM,BLOCK,25389,1882.99,1788.83,1465.13,81.90437325,Semi Critical
440,ANDHRA PRADESH,Prakasam,PONNALURU,BLOCK,29023,2880.92,2736.88,439.47,16.05733536,Safe
441,ANDHRA PRADESH,Prakasam,DORNALA,BLOCK,41258,2580.18,2451.18,1621.4,66.14773293,Safe
442,ANDHRA PRADESH,Prakasam,PODILI,BLOCK,29315,3396.34,3226.51,1662.65,51.53091111,Safe
443,ANDHRA PRADESH,Prakasam,HANUMANTHUNIPADU,BLOCK,32472,2351.63,2234.03,655.64,29.34786015,Safe
444,ANDHRA PRADESH,Prakasam,PEDAARAVEEDU,BLOCK,24987,1512.55,1436.9,2702.24,188.0604078,Over Exploited
445,ANDHRA PRADESH,Prakasam,CHIMAKURTHI,BLOCK,24863,3099.92,2944.89,1901.2,64.55928744,Safe
446,ANDHRA PRADESH,Prakasam,KOTHAPATNAM,BLOCK,16475,2700.75,2565.7,879.46,34.27758506,Safe
447,ANDHRA PRADESH,Prakasam,YERRAGONDAPALEM,BLOCK,72088,4088.27,3883.85,3378.92,86.99924044,Semi Critical
448,ANDHRA PRADESH,Prakasam,THALLUR,BLOCK,20697,2635.3,2503.53,1428.75,57.06941798,Safe
449,ANDHRA PRADESH,Prakasam,CUMBUM,BLOCK,16439,1269.36,1205.85,1009.01,83.67624497,Semi Critical
450,ANDHRA PRADESH,Prakasam,TANGUTUR,BLOCK,20299,1689.34,1604.87,377.62,23.52963168,Safe
451,ANDHRA PRADESH,Prakasam,DONAKONDA,BLOCK,36480,2523.4,2397.22,1409.27,58.78767906,Safe
452,ANDHRA PRADESH,Prakasam,KONDAPI,BLOCK,21230,2169.99,2061.46,464.22,22.51899139,Safe
453,ANDHRA PRADESH,Prakasam,RACHERLA,BLOCK,23174,1491.36,1416.79,1439.16,101.5789214,Over Exploited
454,ANDHRA PRADESH,Prakasam,ARDHAVEEDU,BLOCK,29919,2325.84,2209.53,1320.27,59.75343173,Safe
455,ANDHRA PRADESH,Prakasam,TARLAPADU,BLOCK,24739,1661.35,1578.29,954.11,60.45213491,Safe
456,ANDHRA PRADESH,Prakasam,MARRIPUDI,BLOCK,37976,4696.34,4461.54,1488.18,33.35574712,Safe
457,ANDHRA PRADESH,Prakasam,DARSI,BLOCK,36230,3507.42,3332.05,1267.46,38.0384448,Safe
458,ANDHRA PRADESH,Prakasam,KOMAROLU,BLOCK,22926,1634.69,1552.96,835.44,53.79662065,Safe
459,ANDHRA PRADESH,Prakasam,MADDIPADU,BLOCK,16839,2056.88,1954.02,730.51,37.38498071,Safe
460,ANDHRA PRADESH,Prakasam,ONGOLE,BLOCK,19314,1300.73,1235.68,137.39,11.11857439,Safe
461,ANDHRA PRADESH,Prakasam,PAMUR,BLOCK,40201,3506.07,3330.78,1233.76,37.04117354,Safe
462,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,ALLUR,BLOCK,19114,11232.46,10670.82,469.9,4.403597849,Safe
463,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,ANANTHASAGARAM,BLOCK,25820,5914.94,5619.19,1510.87,26.8876831,Safe
464,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,ANUMASAMUDRAMPETA,BLOCK,28466.25391,3441.7,3269.61,1170.97,35.81375149,Safe
465,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,ATMAKUR (NELLORE),BLOCK,28940.80952,5603.89,5323.67,867.88,16.30228771,Safe
