Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
3231,MADHYA PRADESH,SINGRAULI,DEOSAR,BLOCK,140110.00,12363.17,11745.02,3583.75,30.51,Safe
3232,MADHYA PRADESH,SINGRAULI,WAIDHAN,BLOCK,139900.00,15974.64,15175.90,6896.97,45.45,Safe
3233,MADHYA PRADESH,TIKAMGARH,BALDEOGARH,BLOCK,82296.00,9443.11,8970.95,6391.70,71.25,Semi Critical
3234,MADHYA PRADESH,TIKAMGARH,JATARA,BLOCK,96660.00,12268.84,11655.41,9820.90,84.26,Semi Critical
3235,MADHYA PRADESH,TIKAMGARH,PALERA,BLOCK,71622.00,7579.31,7200.34,5579.18,77.48,Semi Critical
3236,MADHYA PRADESH,TIKAMGARH,TIKAMGARH,BLOCK,84960.00,11571.22,10992.66,8605.06,78.28,Semi Critical
3237,MADHYA PRADESH,UJJAIN,BADNAGAR,BLOCK,123595.00,20636.79,19604.95,26352.67,134.42,Over Exploited
3238,MADHYA PRADESH,UJJAIN,GHATIA,BLOCK,64163.00,13390.75,12721.21,15972.58,125.56,Over Exploited
3239,MADHYA PRADESH,UJJAIN,KHCHROD,BLOCK,110178.00,19804.97,18814.72,13606.42,72.32,Semi Critical
3240,MADHYA PRADESH,UJJAIN,MAHIDPUR,BLOCK,113453.00,17430.88,16559.33,13668.49,82.54,Semi Critical
3241,MADHYA PRADESH,UJJAIN,TARANA,BLOCK,106580.00,13914.09,13218.38,11228.96,84.95,Semi Critical
3242,MADHYA PRADESH,UJJAIN,UJJAIN,BLOCK,75964.00,13497.70,12822.81,19038.40,148.47,Over Exploited
3243,MADHYA PRADESH,UMARIA,KARKELI,BLOCK,156000.00,10333.70,9817.02,2629.60,26.79,Safe
3244,MADHYA PRADESH,UMARIA,MANPUR,BLOCK,184600.00,18975.41,18026.64,3292.96,18.27,Safe
3245,MADHYA PRADESH,UMARIA,PALI,BLOCK,81300.00,8081.11,7677.05,830.28,10.82,Safe
3246,MADHYA PRADESH,VIDISHA,BASODA,BLOCK,108800.00,14574.24,13845.53,9347.11,67.51,Safe
3247,MADHYA PRADESH,VIDISHA,GYARASPUR,BLOCK,84100.00,11749.19,11161.73,8255.15,73.96,Semi Critical
3248,MADHYA PRADESH,VIDISHA,KURWAI,BLOCK,81000.00,12440.47,11818.44,8787.01,74.35,Semi Critical
3249,MADHYA PRADESH,VIDISHA,LATERI,BLOCK,89200.00,10404.25,9884.03,5157.24,52.18,Safe
3250,MADHYA PRADESH,VIDISHA,NATERAN,BLOCK,97700.00,12183.74,11116.13,6738.25,60.62,Safe
3251,MADHYA PRADESH,VIDISHA,SIRONJ,BLOCK,103700.00,14873.23,14129.56,9420.38,66.67,Safe
3252,MADHYA PRADESH,VIDISHA,VIDISHA,BLOCK,106270.00,19277.31,18313.44,9515.17,51.96,Safe
3253,MAHARASHTRA,Ahmednagar,Akola,TALUK,123350.00,8789.78,8350.28,6644.19,79.57,Semi Critical
3254,MAHARASHTRA,Ahmednagar,Jamkhed,TALUK,68603.00,6588.82,6259.38,3877.95,61.95,Safe
3255,MAHARASHTRA,Ahmednagar,Karjat,TALUK,139398.00,13031.57,12380.00,7418.66,59.92,Safe
3256,MAHARASHTRA,Ahmednagar,Kopargaon,TALUK,66643.39,8134.91,7719.50,7193.18,93.18,Critical
3257,MAHARASHTRA,Ahmednagar,Nagar,TALUK,131868.00,12607.43,11977.06,8005.09,66.84,Safe
3258,MAHARASHTRA,Ahmednagar,Newasa,TALUK,132780.00,17655.86,16773.05,14570.21,86.87,Semi Critical
3259,MAHARASHTRA,Ahmednagar,Parner,TALUK,177332.00,16934.70,16071.55,6625.37,41.22,Safe
3260,MAHARASHTRA,Ahmednagar,Pathardi,TALUK,110910.00,11480.31,10906.29,9098.37,83.42,Semi Critical
3261,MAHARASHTRA,Ahmednagar,Rahuri,TALUK,93486.00,13453.83,12781.13,12169.98,95.22,Critical
3262,MAHARASHTRA,Ahmednagar,Rhata,TALUK,65448.40,8322.97,7906.83,8986.60,113.66,Over Exploited
3263,MAHARASHTRA,Ahmednagar,Sangamner,TALUK,164094.93,14493.23,13768.56,12788.70,92.88,Critical
3264,MAHARASHTRA,Ahmednagar,Shevgaon,TALUK,94578.00,9296.09,8831.27,7359.39,83.33,Semi Critical
3265,MAHARASHTRA,Ahmednagar,Shrigonda,TALUK,135667.00,11898.19,11204.61,8745.62,78.05,Semi Critical
3266,MAHARASHTRA,Ahmednagar,Shrirampur,TALUK,58316.28,8376.95,7958.10,7301.78,91.75,Critical
3267,MAHARASHTRA,Akola,Akola,TALUK,99521.87,4735.77,4446.87,2632.00,59.19,Safe
3268,MAHARASHTRA,Akola,Akot,TALUK,80449.23,4648.83,4344.52,2815.44,64.80,Safe
3269,MAHARASHTRA,Akola,Balapur,TALUK,67013.08,4719.45,4401.96,2709.10,61.54,Safe
3270,MAHARASHTRA,Akola,Barsi Takli,TALUK,68347.37,6107.71,5644.45,4031.26,71.42,Semi Critical
3271,MAHARASHTRA,Akola,Murtizapur,TALUK,76798.03,5532.62,5239.18,3477.60,66.38,Safe
3272,MAHARASHTRA,Akola,Patur,TALUK,59873.30,6314.94,5941.37,3750.69,63.13,Safe
3273,MAHARASHTRA,Akola,Telhara,TALUK,62161.99,7578.51,6838.28,4383.10,64.10,Safe
3274,MAHARASHTRA,Amravati,Achlapur,TALUK,63812.00,7996.02,7248.10,6007.16,82.88,Semi Critical
3275,MAHARASHTRA,Amravati,Amravati,TALUK,80309.00,7613.30,7035.02,4741.93,67.40,Safe
3276,MAHARASHTRA,Amravati,Anjangaon Surji,TALUK,52089.00,5437.41,5054.44,2656.67,52.56,Safe
3277,MAHARASHTRA,Amravati,Bhatkuli,TALUK,57991.00,411.20,390.64,213.82,54.73,Safe
3278,MAHARASHTRA,Amravati,Chandur Bazar,TALUK,66563.00,6683.48,6196.63,7274.31,117.39,Over Exploited
3279,MAHARASHTRA,Amravati,Chandur Railway,TALUK,47062.00,5334.84,5011.36,3187.18,63.60,Safe
3280,MAHARASHTRA,Amravati,Chikhaldara,TALUK,31728.00,3218.79,2970.62,1847.44,62.19,Safe
3281,MAHARASHTRA,Amravati,Daryapur,TALUK,77689.00,0.00,0.00,0.00,,Salinity
3282,MAHARASHTRA,Amravati,Dhamangaon Railway,TALUK,59692.00,6193.45,5740.99,3737.88,65.11,Safe
3283,MAHARASHTRA,Amravati,Dharni,TALUK,39180.00,3851.25,3624.69,1866.91,51.51,Safe
3284,MAHARASHTRA,Amravati,Morshi,TALUK,70106.00,9501.34,8881.15,7385.35,83.16,Semi Critical
3285,MAHARASHTRA,Amravati,Nandgaon,TALUK,70595.00,7435.73,7063.62,5098.03,72.17,Semi Critical
3286,MAHARASHTRA,Amravati,Tiwsa,TALUK,53891.00,9033.48,8549.80,5529.93,64.68,Safe
3287,MAHARASHTRA,Amravati,Warud,TALUK,68532.00,11082.66,10055.16,12137.93,120.71,Over Exploited
3288,MAHARASHTRA,Aurangabad,Aurangabad,TALUK,147407.25,13830.98,13139.46,8940.79,68.05,Safe
3289,MAHARASHTRA,Aurangabad,Fulambre,TALUK,39998.75,5170.97,4912.42,3495.35,71.15,Semi Critical
3290,MAHARASHTRA,Aurangabad,Gangapur,TALUK,128019.00,15260.06,14474.81,9205.87,63.60,Safe
3291,MAHARASHTRA,Aurangabad,Kannad,TALUK,128047.00,18978.31,17993.97,10524.18,58.49,Safe
3292,MAHARASHTRA,Aurangabad,Khuldabad,TALUK,43724.00,6538.62,6211.69,4019.69,64.71,Safe
3293,MAHARASHTRA,Aurangabad,Paithan,TALUK,149988.00,20392.79,19373.12,12809.61,66.12,Safe
3294,MAHARASHTRA,Aurangabad,Sillod,TALUK,117696.00,14876.89,14126.90,9116.22,64.53,Safe
3295,MAHARASHTRA,Aurangabad,Soyegaon,TALUK,60928.00,5822.62,5523.60,3087.34,55.89,Safe
3296,MAHARASHTRA,Aurangabad,Vaijapur,TALUK,134366.00,17683.09,16798.94,11615.87,69.15,Safe
3297,MAHARASHTRA,Beed,Ambejogai,TALUK,89860.00,10594.04,10056.60,5403.23,53.73,Safe
3298,MAHARASHTRA,Beed,Ashti,TALUK,143644.00,17362.00,16493.87,10355.02,62.78,Safe
3299,MAHARASHTRA,Beed,Beed,TALUK,134779.00,16031.66,15230.07,9792.40,64.30,Safe
3300,MAHARASHTRA,Beed,Dharur,TALUK,23576.00,3022.26,2871.14,1553.75,54.12,Safe
3301,MAHARASHTRA,Beed,Gevrai,TALUK,147921.00,18700.85,17677.12,11921.01,67.44,Safe
3302,MAHARASHTRA,Beed,Kaij,TALUK,132030.00,14962.26,14214.14,9059.79,63.74,Safe
3303,MAHARASHTRA,Beed,Majalgaon,TALUK,92096.00,12147.34,11438.31,6584.23,57.56,Safe
3304,MAHARASHTRA,Beed,Parli,TALUK,63526.00,11939.30,11318.46,4281.38,37.83,Safe
3305,MAHARASHTRA,Beed,Patoda,TALUK,72377.00,8906.00,8455.86,5703.38,67.45,Safe
3306,MAHARASHTRA,Beed,Shirur Ka,TALUK,61407.00,7150.72,6702.79,4120.08,61.47,Safe
3307,MAHARASHTRA,Beed,Wadvani,TALUK,73989.00,9473.50,8999.82,4609.14,51.21,Safe
3308,MAHARASHTRA,Bhandara,Bhandara,TALUK,63776.00,8850.13,8284.13,3557.92,42.95,Safe
3309,MAHARASHTRA,Bhandara,Lakhandur,TALUK,45038.00,40689.21,36862.19,3190.04,8.65,Safe
3310,MAHARASHTRA,Bhandara,Lakhani,TALUK,46600.00,6176.31,5867.49,3181.02,54.21,Safe
3311,MAHARASHTRA,Bhandara,Mohadi,TALUK,51494.00,6166.52,5854.38,3313.96,56.61,Safe
3312,MAHARASHTRA,Bhandara,Pauni,TALUK,64046.00,16214.57,15028.83,5500.28,36.60,Safe
3313,MAHARASHTRA,Bhandara,Sakoli,TALUK,53420.00,7255.60,6882.41,3590.83,52.17,Safe
3314,MAHARASHTRA,Bhandara,Tumsar,TALUK,72123.00,8981.10,8493.95,3953.73,46.55,Safe
3315,MAHARASHTRA,Buldhana,Buldhana,TALUK,60748.00,7956.73,7541.22,6231.24,82.63,Semi Critical
3316,MAHARASHTRA,Buldhana,Chikhali,TALUK,93581.00,11518.91,10908.17,8327.12,76.34,Semi Critical
3317,MAHARASHTRA,Buldhana,Deulgaon Raja,TALUK,44866.00,5786.17,5496.85,3803.50,69.19,Safe
3318,MAHARASHTRA,Buldhana,Jalgaon,TALUK,54218.00,5461.43,5170.29,5891.09,113.94,Over Exploited
3319,MAHARASHTRA,Buldhana,Khamgaon,TALUK,96087.00,10260.05,9565.33,6287.33,65.73,Safe
3320,MAHARASHTRA,Buldhana,Lonar,TALUK,57912.00,7352.52,6845.05,4759.67,69.53,Safe
3321,MAHARASHTRA,Buldhana,Malakapur,TALUK,44372.00,5156.54,4892.45,3366.04,68.80,Safe
3322,MAHARASHTRA,Buldhana,Mehkar,TALUK,90285.00,11053.69,10405.27,6310.29,60.65,Safe
3323,MAHARASHTRA,Buldhana,Motala,TALUK,56018.00,5880.92,5568.85,3351.21,60.18,Safe
3324,MAHARASHTRA,Buldhana,Nandura,TALUK,53625.00,5274.37,4974.53,3917.96,78.76,Semi Critical
3325,MAHARASHTRA,Buldhana,Sangrampur,TALUK,51627.00,4472.15,4122.43,4743.15,115.06,Over Exploited
3326,MAHARASHTRA,Buldhana,Shegaon,TALUK,50979.00,3221.90,3030.49,1646.96,54.35,Safe
3327,MAHARASHTRA,Buldhana,Sindkhed  Raja,TALUK,66297.00,8275.64,7799.73,5446.08,69.82,Safe
3328,MAHARASHTRA,Chandrapur,Ballarpur,TALUK,43059.00,6064.32,5761.11,1025.57,17.80,Safe
3329,MAHARASHTRA,Chandrapur,Bhadravati,TALUK,142621.00,13960.11,13262.11,2948.39,22.23,Safe
3330,MAHARASHTRA,Chandrapur,Brahmapuri,TALUK,72363.00,7960.46,7500.17,3303.19,44.04,Safe
3331,MAHARASHTRA,Chandrapur,Chandrapur,TALUK,94061.00,10419.48,9898.52,2132.17,21.54,Safe
3332,MAHARASHTRA,Chandrapur,Chimmur,TALUK,64777.00,5955.78,5655.38,2539.13,44.90,Safe
3333,MAHARASHTRA,Chandrapur,Gondpipri,TALUK,73430.00,7567.20,7188.84,1838.63,25.58,Safe
3334,MAHARASHTRA,Chandrapur,Jiwati,TALUK,43178.00,3458.24,3260.47,1045.10,32.05,Safe
3335,MAHARASHTRA,Chandrapur,Korpana,TALUK,43159.00,2735.51,2552.05,797.72,31.26,Safe
3336,MAHARASHTRA,Chandrapur,Mul,TALUK,40572.00,5527.96,5241.85,1709.66,32.62,Safe
3337,MAHARASHTRA,Chandrapur,Nagbhind,TALUK,65337.00,9221.73,8698.30,2914.13,33.50,Safe
3338,MAHARASHTRA,Chandrapur,Pobhurna,TALUK,36463.00,4724.99,4479.49,1242.69,27.74,Safe
3339,MAHARASHTRA,Chandrapur,Rajura,TALUK,82548.00,7730.06,7339.15,1977.63,26.95,Safe
3340,MAHARASHTRA,Chandrapur,Sawali,TALUK,59050.00,8757.17,8317.36,2047.29,24.61,Safe
3341,MAHARASHTRA,Chandrapur,Sindewali,TALUK,78649.00,11055.54,10366.67,3366.06,32.47,Safe
3342,MAHARASHTRA,Chandrapur,Warora,TALUK,108390.00,12227.63,11616.25,3915.24,33.70,Safe
3343,MAHARASHTRA,Dhule,Dhule,TALUK,182626.00,19434.53,18421.92,11393.96,61.85,Safe
3344,MAHARASHTRA,Dhule,Sakri,TALUK,196767.00,20825.77,19519.03,9688.17,49.63,Safe
3345,MAHARASHTRA,Dhule,Shirpur,TALUK,130779.00,18150.28,17242.76,7786.84,45.16,Safe
3346,MAHARASHTRA,Dhule,Sindkheda,TALUK,131960.00,14819.88,14041.30,6851.99,48.80,Safe
3347,MAHARASHTRA,Gadchiroli,Aheri,TALUK,114098.49,11035.72,10368.50,1575.65,15.20,Safe
3348,MAHARASHTRA,Gadchiroli,Armori,TALUK,63493.87,9277.01,8788.98,3134.42,35.66,Safe
3349,MAHARASHTRA,Gadchiroli,Bhamragad,TALUK,37688.20,4394.55,4030.11,336.33,8.35,Safe
3350,MAHARASHTRA,Gadchiroli,Chamorshi,TALUK,125583.70,12627.80,11854.84,3604.51,30.41,Safe
3351,MAHARASHTRA,Gadchiroli,Dhanora,TALUK,75416.25,9618.66,9115.97,2556.49,28.04,Safe
3352,MAHARASHTRA,Gadchiroli,Etapalli,TALUK,114792.15,13613.12,12895.65,2211.55,17.15,Safe
3353,MAHARASHTRA,Gadchiroli,Gadchiroli,TALUK,51743.80,6829.28,6453.64,1759.39,27.26,Safe
3354,MAHARASHTRA,Gadchiroli,Korchi,TALUK,38658.66,5007.15,4755.98,1267.88,26.66,Safe
3355,MAHARASHTRA,Gadchiroli,Kurkheda,TALUK,76871.88,10673.42,10139.74,3379.78,33.33,Safe
3356,MAHARASHTRA,Gadchiroli,Mulchera,TALUK,70866.10,7548.13,7160.71,1710.80,23.89,Safe
3357,MAHARASHTRA,Gadchiroli,Soroncha,TALUK,78563.00,9901.30,9365.80,3346.75,35.73,Safe
3358,MAHARASHTRA,Gadchiroli,Wadsa,TALUK,38873.00,6890.34,6496.68,1712.76,26.36,Safe
3359,MAHARASHTRA,Gondia,Amgaon,TALUK,35689.05,5042.98,4790.78,1418.08,29.60,Safe
3360,MAHARASHTRA,Gondia,Arjuni Moregaon,TALUK,87477.02,15197.08,14071.41,2436.46,17.31,Safe
3361,MAHARASHTRA,Gondia,Deori,TALUK,80783.71,8825.92,8367.11,1287.53,15.39,Safe
3362,MAHARASHTRA,Gondia,Gondia,TALUK,62169.46,8728.48,8120.61,2754.71,33.92,Safe
3363,MAHARASHTRA,Gondia,Goregaon,TALUK,41385.44,5021.35,4770.29,2093.87,43.89,Safe
3364,MAHARASHTRA,Gondia,Sadak Arjuni,TALUK,60770.81,8876.18,8358.05,3035.20,36.31,Safe
3365,MAHARASHTRA,Gondia,Salekasa,TALUK,39296.00,6835.67,6321.84,1490.73,23.58,Safe
3366,MAHARASHTRA,Gondia,Tirora,TALUK,52133.26,7895.30,7250.34,2013.11,27.77,Safe
3367,MAHARASHTRA,Hingoli,Aundha,TALUK,81961.00,21997.34,20880.95,7044.74,33.74,Safe
3368,MAHARASHTRA,Hingoli,Basmath,TALUK,76436.00,34755.96,33018.17,11053.44,33.48,Safe
3369,MAHARASHTRA,Hingoli,Hingoli,TALUK,94832.00,13977.90,13279.00,5376.95,40.49,Safe
3370,MAHARASHTRA,Hingoli,Kalmnuri,TALUK,94891.00,16656.74,15823.89,8300.71,52.46,Safe
3371,MAHARASHTRA,Hingoli,Sengaon,TALUK,118121.00,15555.11,14777.35,6672.94,45.16,Safe
3372,MAHARASHTRA,Jalgaon,Amalner,TALUK,89266.00,12703.05,12067.89,8549.80,70.85,Semi Critical
3373,MAHARASHTRA,Jalgaon,Bhadgaon,TALUK,49142.00,10843.62,10088.15,7993.43,79.24,Semi Critical
3374,MAHARASHTRA,Jalgaon,Bhusawal,TALUK,53818.00,6120.91,5814.88,4497.34,77.34,Semi Critical
3375,MAHARASHTRA,Jalgaon,Bodwad,TALUK,35669.00,4152.06,3944.46,3038.16,77.02,Semi Critical
3376,MAHARASHTRA,Jalgaon,Chalisgaon,TALUK,103335.00,15085.47,14201.72,10747.84,75.68,Semi Critical
3377,MAHARASHTRA,Jalgaon,Chopda,TALUK,110180.00,11711.35,10961.30,9201.56,83.95,Semi Critical
3378,MAHARASHTRA,Jalgaon,Dharangaon,TALUK,45418.00,8507.28,8067.96,4451.35,55.17,Safe
3379,MAHARASHTRA,Jalgaon,Erandol,TALUK,49177.00,7444.07,7070.86,4746.51,67.13,Safe
3380,MAHARASHTRA,Jalgaon,Jalgaon,TALUK,83198.00,9085.58,8626.74,4677.85,54.22,Safe
3381,MAHARASHTRA,Jalgaon,Jamner,TALUK,126843.00,13586.36,12907.04,9115.44,70.62,Semi Critical
3382,MAHARASHTRA,Jalgaon,Muktainagar,TALUK,63392.00,5988.88,5682.18,4076.73,71.75,Semi Critical
3383,MAHARASHTRA,Jalgaon,Pachora,TALUK,79609.00,11303.36,10720.82,7622.19,71.10,Semi Critical
3384,MAHARASHTRA,Jalgaon,Parola,TALUK,71160.00,8816.79,8370.94,6209.16,74.18,Semi Critical
3385,MAHARASHTRA,Jalgaon,Raver,TALUK,93907.00,10495.32,9970.55,12550.52,125.88,Over Exploited
3386,MAHARASHTRA,Jalgaon,Yawal,TALUK,83769.00,8973.81,8492.21,8972.28,105.65,Over Exploited
3387,MAHARASHTRA,Jalna,Ambad,TALUK,110885.00,10160.30,9652.28,4085.35,42.33,Safe
3388,MAHARASHTRA,Jalna,Badnapur,TALUK,53430.66,5981.59,5647.44,3661.12,64.83,Safe
3389,MAHARASHTRA,Jalna,Bhokardan,TALUK,127316.26,14082.04,13377.91,7919.47,59.20,Safe
3390,MAHARASHTRA,Jalna,Ghat Sawangi,TALUK,108967.00,14519.65,13761.47,7557.49,54.92,Safe
3391,MAHARASHTRA,Jalna,Jafrabad,TALUK,69380.50,8516.93,8091.08,4715.65,58.28,Safe
3392,MAHARASHTRA,Jalna,Jalna,TALUK,123892.18,11661.90,11078.80,7007.68,63.25,Safe
3393,MAHARASHTRA,Jalna,Mantha,TALUK,80364.40,8464.10,8037.75,3622.99,45.07,Safe
3394,MAHARASHTRA,Jalna,Partur,TALUK,97564.00,11267.91,10704.51,3383.44,31.61,Safe
3395,MAHARASHTRA,Kolhapur,Ajara,TALUK,40265.21,8313.14,7897.48,3585.56,45.40,Safe
3396,MAHARASHTRA,Kolhapur,Bhudargad,TALUK,50035.28,7255.76,6850.08,3016.71,44.04,Safe
3397,MAHARASHTRA,Kolhapur,Chandgad,TALUK,75070.95,17060.82,16207.78,7558.70,46.64,Safe
3398,MAHARASHTRA,Kolhapur,Gadhinglaj,TALUK,47755.05,12510.41,11884.88,7134.69,60.03,Safe
3399,MAHARASHTRA,Kolhapur,Gaganbawada,TALUK,12218.74,4023.93,3822.73,756.97,19.80,Safe
3400,MAHARASHTRA,Kolhapur,Hatkanangale,TALUK,57309.00,11716.56,11130.73,6300.34,56.60,Safe
3401,MAHARASHTRA,Kolhapur,Kagal,TALUK,55651.71,13719.10,12730.52,5179.36,40.68,Safe
3402,MAHARASHTRA,Kolhapur,Karvir,TALUK,49220.99,13921.38,13009.19,5361.51,41.21,Safe
3403,MAHARASHTRA,Kolhapur,Panhala,TALUK,39428.57,10668.15,10058.68,4500.94,44.75,Safe
3404,MAHARASHTRA,Kolhapur,Radhanagari,TALUK,47161.84,17294.13,15903.64,4863.91,30.58,Safe
3405,MAHARASHTRA,Kolhapur,Shahuwadi,TALUK,34785.66,8039.07,7487.43,1888.82,25.23,Safe
3406,MAHARASHTRA,Kolhapur,Shirol,TALUK,53273.00,11467.23,10810.55,4170.92,38.58,Safe
3407,MAHARASHTRA,Latur,Ahmedpur,TALUK,91041.00,8955.29,8507.53,3918.79,46.06,Safe
3408,MAHARASHTRA,Latur,Anantpal Sh,TALUK,17789.00,2021.64,1920.56,889.55,46.32,Safe
3409,MAHARASHTRA,Latur,Ausa,TALUK,116191.00,14826.32,13891.67,6748.92,48.58,Safe
3410,MAHARASHTRA,Latur,Chakur,TALUK,47981.00,4906.99,4661.64,2783.45,59.71,Safe
3411,MAHARASHTRA,Latur,Devani,TALUK,25576.00,2466.70,2343.36,992.98,42.37,Safe
3412,MAHARASHTRA,Latur,Jalkot,TALUK,19867.00,1921.16,1825.10,702.52,38.49,Safe
3413,MAHARASHTRA,Latur,Latur,TALUK,91073.00,10904.67,10196.58,6944.21,68.10,Safe
3414,MAHARASHTRA,Latur,Nilanga,TALUK,120705.00,12431.93,11810.34,6577.01,55.69,Safe
3415,MAHARASHTRA,Latur,Renapur,TALUK,46992.00,4519.84,4239.81,2807.99,66.23,Safe
3416,MAHARASHTRA,Latur,Udgir,TALUK,86333.00,7923.15,7526.99,3607.47,47.93,Safe
3417,MAHARASHTRA,Mumbai,Mumbai,Urban area,7004.00,1555.42,1477.65,680.14,46.03,Safe
3418,MAHARASHTRA,Mumbai Sub,Andheri,Urban area,6916.00,1501.90,1426.80,619.16,43.40,Safe
3419,MAHARASHTRA,Mumbai Sub,Borivali,Urban area,14413.00,2718.68,2582.74,625.05,24.20,Safe
3420,MAHARASHTRA,Mumbai Sub,Kurla,Urban area,15165.00,2932.78,2786.14,625.70,22.46,Safe
3421,MAHARASHTRA,Nagpur,Bhiwapur,TALUK,55765.00,4456.84,4124.48,2124.81,51.52,Safe
3422,MAHARASHTRA,Nagpur,Hingana,TALUK,63315.00,8026.14,7624.84,3604.02,47.27,Safe
3423,MAHARASHTRA,Nagpur,Kalameshwar,TALUK,47112.00,7534.45,7060.91,3924.32,55.58,Safe
3424,MAHARASHTRA,Nagpur,Kamtee,TALUK,37523.00,5030.67,4766.51,2389.08,50.12,Safe
3425,MAHARASHTRA,Nagpur,Katol,TALUK,55293.00,9787.80,9233.35,6210.10,67.26,Safe
3426,MAHARASHTRA,Nagpur,Kuhi,TALUK,74997.00,7041.16,6689.11,3792.61,56.70,Safe
3427,MAHARASHTRA,Nagpur,Mouda,TALUK,75358.00,11258.53,10695.60,2940.98,27.50,Safe
3428,MAHARASHTRA,Nagpur,Nagpur Rural,TALUK,47248.00,5858.06,5542.51,2517.93,45.43,Safe
3429,MAHARASHTRA,Nagpur,Nagpur Urban,Urban area,22457.00,3706.03,3520.66,1101.94,31.30,Safe
3430,MAHARASHTRA,Nagpur,Narkhed,TALUK,64323.00,10115.08,9517.40,6028.23,63.34,Safe
3431,MAHARASHTRA,Nagpur,Parshioni,TALUK,53651.00,7969.53,7499.97,2709.85,36.13,Safe
3432,MAHARASHTRA,Nagpur,Ramtek,TALUK,63271.00,6454.81,6128.72,2292.83,37.41,Safe
3433,MAHARASHTRA,Nagpur,Saoner,TALUK,56237.00,5454.66,5074.57,3405.79,67.11,Safe
3434,MAHARASHTRA,Nagpur,Umred,TALUK,82492.00,10173.19,9602.84,3424.21,35.66,Safe
3435,MAHARASHTRA,Nanded,Ardhapur,TALUK,28176.00,4180.19,3971.17,2321.16,58.45,Safe
3436,MAHARASHTRA,Nanded,Bhokar,TALUK,63026.00,6966.47,6618.15,2208.55,33.37,Safe
3437,MAHARASHTRA,Nanded,Biloli,TALUK,58037.00,6711.76,6376.17,1349.29,21.16,Safe
3438,MAHARASHTRA,Nanded,Degloor,TALUK,66590.00,7141.42,6775.34,2373.25,35.03,Safe
3439,MAHARASHTRA,Nanded,Dharmabad,TALUK,33537.00,4375.31,4156.55,633.99,15.25,Safe
3440,MAHARASHTRA,Nanded,Hadgaon,TALUK,100411.00,14090.48,13385.93,5144.09,38.43,Safe
3441,MAHARASHTRA,Nanded,Himataytnahar,TALUK,49896.00,5802.30,5512.19,2044.95,37.10,Safe
3442,MAHARASHTRA,Nanded,Kandhar,TALUK,77962.00,10438.77,9916.82,2637.99,26.60,Safe
3443,MAHARASHTRA,Nanded,Kinwat,TALUK,147562.00,17111.55,16255.98,3793.13,23.33,Safe
3444,MAHARASHTRA,Nanded,Loha,TALUK,84955.00,11085.43,10531.15,3317.84,31.51,Safe
3445,MAHARASHTRA,Nanded,Mahur,TALUK,49818.00,5562.28,5284.17,2073.13,39.23,Safe
3446,MAHARASHTRA,Nanded,Mudkhed,TALUK,32394.00,4133.21,3926.55,2091.35,53.26,Safe
3447,MAHARASHTRA,Nanded,Mukhed,TALUK,87594.00,9398.89,8928.95,2356.73,26.39,Safe
3448,MAHARASHTRA,Nanded,Naigaon,TALUK,56560.00,7392.00,7022.41,2035.53,28.99,Safe
3449,MAHARASHTRA,Nanded,Nanded,TALUK,40633.00,6259.82,5946.81,2532.78,42.59,Safe
3450,MAHARASHTRA,Nanded,Umari,TALUK,40620.00,4959.16,4711.21,1338.57,28.41,Safe
3451,MAHARASHTRA,Nandurbar,Akkalkuva,TALUK,41428.00,5074.14,4820.44,1864.05,38.67,Safe
3452,MAHARASHTRA,Nandurbar,Akrani,TALUK,37951.00,3941.11,3744.08,1044.09,27.89,Safe
3453,MAHARASHTRA,Nandurbar,Nandurbar,TALUK,98370.00,12352.82,11681.43,6183.68,52.94,Safe
3454,MAHARASHTRA,Nandurbar,Nawapur,TALUK,90952.00,14355.25,13581.19,4836.71,35.61,Safe
3455,MAHARASHTRA,Nandurbar,Shahada,TALUK,113802.00,12060.47,11384.26,4715.06,41.42,Safe
3456,MAHARASHTRA,Nandurbar,Taloda,TALUK,32775.00,4051.66,3849.10,1845.62,47.95,Safe
3457,MAHARASHTRA,Nashik,Baglan Satana,TALUK,132843.00,13511.79,12685.26,10172.90,80.19,Semi Critical
3458,MAHARASHTRA,Nashik,Chandwad,TALUK,79776.00,11742.72,11014.51,8928.58,81.06,Semi Critical
3459,MAHARASHTRA,Nashik,Deola,TALUK,50983.00,6805.94,6465.63,5684.41,87.92,Semi Critical
3460,MAHARASHTRA,Nashik,Dindori,TALUK,90388.00,12274.94,11589.21,7178.05,61.94,Safe
3461,MAHARASHTRA,Nashik,Igatpuri,TALUK,66295.00,17674.43,16763.86,4208.07,25.10,Safe
3462,MAHARASHTRA,Nashik,Kalwan,TALUK,61064.00,8208.20,7791.94,4821.03,61.87,Safe
3463,MAHARASHTRA,Nashik,Malegaon,TALUK,158540.00,19967.28,18948.52,11306.87,59.67,Safe
3464,MAHARASHTRA,Nashik,Nandgaon,TALUK,108456.00,10901.59,10348.04,5959.37,57.59,Safe
3465,MAHARASHTRA,Nashik,Nasik,TALUK,73730.00,15713.73,14519.50,6384.89,43.97,Safe
