Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
177,ANDHRA PRADESH,East Godavari,RAJANAGARAM,BLOCK,23476.87,3623.70,3442.48,2238.66,65.03,Safe
178,ANDHRA PRADESH,East Godavari,RAJAHMUNDRY (URBAN),BLOCK,1737.75,168.66,160.23,13.21,8.24,Safe
179,ANDHRA PRADESH,East Godavari,GOKAVARAM,BLOCK,20224.75,6348.47,6031.01,781.19,12.95,Safe
180,ANDHRA PRADESH,East Godavari,SEETHANAGARAM,BLOCK,15414.57,7240.93,6878.90,1290.93,18.77,Safe
181,ANDHRA PRADESH,East Godavari,ANAPARTHI,BLOCK,6038.00,8334.21,7917.50,644.34,8.14,Safe
182,ANDHRA PRADESH,East Godavari,BICCAVOLU,BLOCK,10058.00,10616.31,10085.51,940.53,9.33,Safe
183,ANDHRA PRADESH,East Godavari,KADIAM,BLOCK,7573.42,8954.67,8506.93,2959.95,34.79,Safe
184,ANDHRA PRADESH,East Godavari,KORUKONDA,BLOCK,18006.49,13652.95,12970.31,1633.18,12.59,Safe
185,ANDHRA PRADESH,East Godavari,RAJAHMUNDRY RURAL,BLOCK,9041.27,1334.66,1267.93,682.68,53.84,Safe
186,ANDHRA PRADESH,East Godavari,DEVARAPALLE,BLOCK,21031.00,3848.62,3656.18,2588.36,70.79,Semi Critical
187,ANDHRA PRADESH,East Godavari,GOPALAPURAM,BLOCK,21068.00,4798.13,4558.19,3013.85,66.12,Safe
188,ANDHRA PRADESH,East Godavari,KOVVUR,BLOCK,11152.00,5021.60,4770.53,2755.20,57.75,Safe
189,ANDHRA PRADESH,East Godavari,NALLAJERLA,BLOCK,24492.00,5109.45,4853.97,3467.42,71.43,Semi Critical
190,ANDHRA PRADESH,East Godavari,NIDADAVOLE,BLOCK,13297.00,5180.71,4921.71,2442.78,49.63,Safe
191,ANDHRA PRADESH,East Godavari,PERAVALI,BLOCK,8290.31,5378.89,5109.94,1594.54,31.20,Safe
192,ANDHRA PRADESH,East Godavari,UNDRAJAVARAM,BLOCK,8114.00,8159.71,7751.72,1445.70,18.65,Safe
193,ANDHRA PRADESH,Eluru,KALIDINDI,BLOCK,17815.00,0.00,0.00,0.00,,Salinity
194,ANDHRA PRADESH,Eluru,KUKUNOOR,BLOCK,31354.95,12077.87,11473.99,1112.93,9.70,Safe
195,ANDHRA PRADESH,Eluru,NUZVID,BLOCK,22665.80,3810.08,3619.55,1128.37,31.17,Safe
196,ANDHRA PRADESH,Eluru,BHIMADOLE,BLOCK,21652.00,7318.48,6952.54,1849.09,26.60,Safe
197,ANDHRA PRADESH,Eluru,AGIRIPALLE,BLOCK,20469.00,4556.36,4328.53,1793.71,41.44,Safe
198,ANDHRA PRADESH,Eluru,KAIKALUR,BLOCK,17488.00,0.00,0.00,0.00,,Salinity
199,ANDHRA PRADESH,Eluru,POLAVARAM,BLOCK,37060.00,7949.27,7551.85,1201.25,15.91,Safe
